ability-	здатність
before-	перш ніж
begin-	починати (ся)
beginning-	почало
behave-	поводитися
behaviour-	поведінку
behind-	ззаду
behind-	задній
belief-	віра
believe-	вірити
belong-	належати
below-	нижче
bend-	згинати (ся)
beneath-	під
benefit-	вигода
beside-	поруч з
best-	кращий
best-	найкраще
bet-	парі
bet-	тримати парі
better-	кращий
better-	краще
between-	між
beyond-	
big-	велику
bill-	рахунок
bin-	ящик
birth-	народження
birthday-	день народження
bit-	шматочок
bite-	укус
179. bite-	кусати (ся)
black-	чорний
black-	чорний колір
blame-	докір
blame-	засуджувати
blind-	сліпий
block-	блок
block-	примусити
blow-	віяти
blue-	блакитний
board-	дошка
boat-	човен
body-	тіло
boil-	варити (ся)
book-	книга
book-	вносити в книгу
border-	межа
bored-	нудьгуючий
boring-	нудний
born-	народився
borrow-	позичати
both-	обидва
bother-	турбувати (ся)
bottom-	дно
bottom-	ниж ий
bound-	пов'язаний
brain-	мозок
branch-	гілка
brave-	сміливий
bread-	хліб
break-	перерву
break-	ламати
break down-	руйнувати
break in-	ломитися
break into-	ломитися
break out-	виламувати
break through-	прорватися
break up-	кришитися на дрібні частини
breakfast-	сніданок
breath-	дихання
breathe-	дихати
bridge-	міст
brief-	короткий
bright-	яскравий
bring-	приносити
bring back-	приносити назад
bring down-	звалити
bring forward-	висувати (пропозиція)
bring up-	приводити
broad-	широкий
broken-	розбитий
brother-	брат
brown-	коричневий
brush-	щітка
brush-	чистити щіткою
build-	будувати
building-	будинок
bunch-	зв'язка
burn-	горіти
burst-	лопатися
bury-	ховати
bus-	автобус
bush-	кущ
business-	справу
busy-	зайнятої
but-	а
but-	крім
butter-	масло
buy-	купувати
by-	у
by-	близько
bye-	до побачення
call-	тефонний дзвінок
call-	кричати
call at-	зупинятися (де-л.)
call back-	передзвонювати кому-л.
call off-	скасовувати
call out-	викрикувати
call up-	викликати
calm-	спокійний
calmly-	спокійно
can-	могти
cap-	кепка
capital-	столиця
car-	автомобіль
card-	картка
care-	турбота
care-	піклуватися (for
careful-	обережний
careless-	безтурботний
carry-	носити
case-	випадок
catch-	ловити
cause-	причина
cause-	послужити причиною / приводом для ч-л.
centimetre-	сантиметр
central-	центральний
centre-	центр
century-	сторіччя
certain-	певний
certainly-	звичайно
challenge-	(складна) проблема
chance-	можливість
change-	зміна
change-	міняти (ся)
character-	характер
characteristic-	характерна риса
charge-	плата
charge-	призначати
chase-	гнатися
chat-	невимушено базікати
cheap-	дешевий
cheat-	обманювати
check-	контроль
check-	перевіряти
cheek-	щока
cheque-	чек
chief-	головний
child-	дитина
children-	діти
chin-	підборіддя
choice-	вибір
choose-	вибирати
church-	церква
cinema-	кінотеатр
circle-	коло
circumstance-	обставина
city-	місто
claim-	вимога
claim-	требо вать
class-	клас
classroom-	класна кімната
clean-	чистий
clean-	чистити
clear-	чистий
clear-	очищати
clearly-	ясно
clever-	розумний
climb-	карапкаться
close-	закривати (ся)
close-	близький
closed-	закритий
closely-	близько
clothes-	одяг
club-	клуб
clue-	ключ (до розгадки)
coat-	пальто
coffee-	кави
cold-	холодний
collect-	збирати
collection-	колекція
colour-	колір
combination-	поєднання
combine-	з'єднуватися
come-	приходити
come back-	повертатися
come down-	спускатися
come from-	приходити звідкись л.
come in-	входити
come off-	відриватися
come out-	виходити
come over-	приїжджати
come round-	заходити ненадовго
come up-	підніматися
comfort-	комфорт
comfortable-	комфортний
command-	команда
comment-	коментар
comment-	коментувати
commit-	здійснювати (злочин)
common-	загальне
common-	загальний
communicate-	повідомляти
communication-	комунікація
community-	співтовариство
company-	компанія
compare-	порівнювати
compete-	змагатися
complain-	скаржитися
complaint-	скарга
complete-	повний
complete-	завершувати
completely-	впо лне
complicated-	заплутаний
computer-	комп'ютер
concentrate-	зосереджувати (ся)
concentration-	концентрація
concern-	ставлення
concerned-	зацікавлений
concerning-	щодо
conclusion-	умовивід
condition-	умова
conduct-	супроводжувати
confidence-	віра
confident-	впевнений
confuse-	змішувати
confused-	збентежений; спантеличений
confusing-	збиває з пантелику
congratulate-	вітати
congratulations-	привітання
connect-	з'єднувати (ся)
connected-	пов'язаний з ким-л.
connection-	зв'язок
consider-	розглядати
considering-	з огляду на
consist-	складатися
constantly-	безперервно
consult-	радитися
contact-	контакт
contact-	зв'язуватися
contain-	містити
container-	контейнер
content-	вміст
content-	задоволений
contents-	вміст
continue-	продовжувати (ся)
contrast-	відмінність
contrast-	зіставляти
contribute-	сприяти
control-	нагляд
control-	управляти
convenient-	зручний
conversation-	розмова
convince-	переконувати
convinced-	переконаний
convincing-	переконливий
cook-	готувати
cool-	прохолодний
cope-	впоратися
copy-	копія
copy-	копіювати
corner-	кут
correct-	правильний
correct-	виправляти
correction-	виправлення
cost-	ціна
cost-	коштувати
cough-	кашляти
could-	бавовняні. вр. від can
count-	вважати
country-	країна
couple-	пара
course-	курс
cover-	кришка
cover-	накривати
crash-	гуркіт
crash-	валитися
crazy-	ненормальний
create-	створювати
creature-	створення
crime-	злочин
crisis-	криза
criticism-	критика
criticize-	критикувати
cross-	хрест
cross-	перехрещувати
crowd-	натовп
crowded-	переповнений
cruel-	жорстокий
cruelty-	жорстокість
cry-	плач
cry-	плакати
culture-	культура
curious-	цікавий
custom-	звичай
cut-	різати
cut-	розріз
damage-	шкоду
damage-	пошкоджувати
damp-	вологий
dance-	танець
dance-	танцювати
danger-	небезпека
dangerous-	небезпечний
dare-	вирішуватися
dark-	темний
date-	дата
day-	день
dead-	мертвий
deaf-	глухий
deal-	угода
dear-	дорогий
debt-	борг
decide-	вирішувати (ся)
decision-	рішення
declaration-	декларація
declare-	заявляти
deep-	глибокий
deep-	глибоко
defeat-	здобути перемогу
defend-	захищати (ся)
definite-	ясний
degree-	ступінь
deliberate-	навмисний
deliberately-	свідомо
delicate-	ніжний
delight-	задоволення
deliver-	доставляти
demand-	треб вать
demonstrate-	показувати
depend-	залежати
describe-	описувати
description-	опис
deserve-	заслуговувати
design-	проект
design-	розробляти
desperate-	безнадійний; безперспективний
destroy-	руйнувати
detail-	деталь
determined-	рішучий
develop-	розвивати (ся)
development-	розвиток
die-	померти
difference-	різниця
different-	різний
difficult-	важкий
difficulty-	труднощі
dig-	копати
dinner-	обід
direct-	прямий
direct-	керувати
direction-	напрямок
disagree-	не збігатися
disappear-	зникати
disappointed-	розчарований
disapprove-	засуджувати
discover-	виявляти
discovery-	відкриття
discuss-	обговорювати
discussion-	дискусія
disgusting-	противний
dish-	блюдо
display-	показ
distance-	відстань
distant-	дальній
disturb-	турбувати
disturbing-	турбує
divide-	відокремлювати (ся)
division-	поділ
do-	робити
doctor-	лікар
door-	двері
doubt-	сумнів
doubt-	сумніватися
down-	вниз
downstairs-	розташований в нижньому поверсі
draw-	малювати
drawing-	малюнок
dream-	сон
dream-	снитися
dress-	плаття
dress-	одягати (ся)
drink-	напій
drink-	пити
drive-	їзда
drive-	везти
drop-	крапля
drop-	упускати
dry-	сухий
dry-	сушити (ся)
dull-	нудний
during-	протягом
duty-	обов'язок
each-	кожен
eager-	пристрасно бажаючий
ear-	вухо
early-	ранній
earn-	заробляти
earth-	Земля
easy-	легкий
eat-	є
edge-	кромка
education-	освіту
effect-	результат
effort-	зусилля
either-	будь-(з двох)
either-	один з двох
else-	ще
embarrassed-	збентежений
embarrassing-	сором'язливий
emergency-	непередбачений випадок
emotion-	почуття
emphasis-	важливість
emphasize-	підкреслювати
empty-	порожній
encourage-	заохочувати
end-	кінець
end-	кінчати
enemy-	ворог
energy-	енергія
enjoy-	отримувати задоволення
enjoyable-	приємний
enough-	досить
enter-	входити
entertainment-	розвага
enthusiastic-	захоплений
entrance-	вхід
entry-	вхід
environment-	оточення
equal-	рівний
equal-	дорівнювати
equipment-	обладнання
error-	оману
escape-	тікати
especially-	особливо
estimate-	оцінка
estimate-	оцінювати
even-	навіть
even-	рівний
evening-	вечір
event-	подія
ever-	завжди
every-	кожен
everybody-	кожен
everyone-	кожен
everything-	все
everywhere-	всюди
evidence-	доказ
exact-	точний
exactly-	точно
exaggerate-	перебільшувати
exam-	Кзам
example-	приклад
excellent-	відмінний
except-	виключаючи
exchange-	обмін
exchange-	обмінювати
excited-	схвильований
exciting-	збудливий
excuse-	вибачення
excuse-	вибачатися
exercise-	вправу
exhibition-	виставка
exist-	існувати
exit-	вихід
expect-	очікувати
expensive-	дорогою
experience-	(життєвий) досвід
experiment-	досвід
explain-	пояснювати
explanation-	пояснення
exploration-	дослідження
expression-	вираз
extra-	додатковий
extraordinary-	незвичайний
extremely-	надзвичайно
eye-	очей
face-	особа
face-	бути зверненим до
fact-	обставину
factory-	завод
fail-	потерпіти невдачу
failure-	нездатність
fair-	чесний
fairly-	належним чином
fall-	падіння
fall-	падати
FALSE-	невірний
familiar-	добре знайомий
family-	сім'я
famous-	знаменитий
far-	далеко
far-	дальній
fashion-	мода
fast-	швидкий
fast-	швидко
fasten-	прикріплювати
fat-	товстий
father-	батько
fault-	недолік
favour-	послугу
favourite-	улюблений
fear-	боязнь
fear-	боятися
feature-	особливість
feed-	до мить
feel-	відчувати
feeling-	відчуття
female-	самка
female-	жіночої статі
fence-	паркан
fetch-	принести
few-	мало
field-	поле
fierce-	лютий
fight-	битися
figure-	цифра
file-	папка
fill-	667. наповнювати (ся)
film-	фільм
final-	завершальний
finally-	нарешті
find-	знаходити
fine-	чудовий
finger-	палець (на руці)
finish-	закінчувати
fire-	вогонь
fire-	стріляти
firm-	твердий
first-	перший
fit-	підходити
fit-	відповідний
fix-	ремонтувати
flat-	плоский
flat-	рівно
flavour-	смак
flight-	політ
float-	плавати
flood-	заливати
floor-	підлогу
flow-	протягом
flow-	текти
fly-	літати
fold-	загинати
follow-	слідувати
fond-	ніжний
food-	їжа
foot-	ступня
for-	для
force-	сила
force-	змушувати
foreign-	іноземний; закордонний
forever-	назавжди
forget-	забувати
forgive-	прощати
fork-	вилка
form-	форма
form-	утворювати
formal-	офіційний
fortunate-	щасливий
fortunately-	на щастя
forward-	вперед
frame-	рама
free-	вільний
free-	звільняти
free-	безкоштовно
freedom-	свобода
freeze-	заморожувати
frequent-	частий
fresh-	свіжий
friend-	один
friendly-	дружній
frighten-	лякати
frightened-	переляканий
from-	від
front-	передня сторона чогось л
full-	повний
fun-	жарт
funny-	забавний
furniture-	меблі
further-	далі
future-	майбутнє
future-	майбутній
game-	гра
gap-	щілину
gas-	газ
gate-	ворота
gather-	збирати (ся)
general-	головний
generally-	зазвичай
generous-	щедрий
gentle-	ласкавий
genuine-	істинний
get-	отримати
get away-	йти
get back-	повернути (ся)
get off-	зійти
get on-	сідати (в машину)
get out-	виходити
get up-	вставати
gift-	подарунок
give-	давати
give away-	віддавати
give back-	повертати
give out-	роздавати
give up-	залишити
glad-	задоволений
glass-	скло
go-	йти
go away-	йти
go back (to)-	повертатися
go down-	опускатися
go off-	вистрілювати (про зброю)
go on-	продовжувати
go out-	вийти
go up-	підніматися
good-	хороший
goodbye-	до побачення!
government-	уряд
grade-	ступінь
gradually-	поступово
grand-	великий
grateful-	вдячний
great-	великий
greeting-	вітання
ground-	земля
group-	група
grow-	рости
guard-	охорона
guess-	припущення
guess-	здогадатися
guide-	вести
guilty-	винний
habit-	звичай
hair-	волосся
half-	половина
hand-	рука (кисть)
handle-	керувати
hang-	вішати
happen-	траплятися
happy-	щасливий
hard-	жорсткий
hard-	активно
hardly-	навряд чи
harm-	шкоду; зло
hate-	ненавидіти
he-	він
have-	мати
head-	голова
health-	здоров'я
healthy-	здоровий
hear-	чути
heart-	серце
heat-	спека
heavy-	важкий
height-	висота
hello-	привіт!
help-	допомагати
her-	її
here-	тут
hers-	її
herself-	сама
hide-	ховати (ся)
high-	високий
high-	високо
him-	йому
himself-	сам
his-	його
history-	історія
hit-	хіт
hit-	ударяти
hold-	захвт
hold-	дера
hold on-	почекати
hold out-	протягувати
hold up-	зупиняти
hole-	діра
holiday-	свято
hollow-	порожній
home-	будинок
home-	будинку
honest-	чесний
hope-	надія
hope-	сподіватися
hospital-	лікарня
hot-	гарячий
hour-	час
house-	будинок
how-	як
however-	однак
human-	людський
hungry-	голодний
hurry-	суєта
hurry-	квапити (ся)
hurt-	поранити
hurt-	поранений
I-	я
idea-	ідея
identify-	впізнавати
if-	якщо
ignore-	ігнорувати
ill-	хворий
illness-	хвороба
image-	образ
imagination-	уяву; фантазія
imagine-	уявляти
immediate-	негайний
immediately-	негайно
impatient-	нетерплячий
importance-	важливість
important-	важливий
impossible-	неможливий
impressed-	вражений
impression-	враження
impressive-	вражаючий
improve-	покращувати (ся)
improvement-	поліпшення
in-	в
in-	всередині
include-	укладати
increase-	зростання
increase-	зростати
indeed-	справді
independent-	незалежний
influence-	вплив
influence-	впливати
inform-	повідомляти
information-	інформація
injury-	шкоду
innocent-	безневинний
inquire-	довідуватися
inside-	внутрішній
insist-	наполягати
instant-	миттєвий
instead-	замість
instruction-	інструкція
instrument-	інструмент
intelligent-	кмітливий
intend-	планувати
interest-	інтерес
interested-	зацікавлений
interesting-	цікавий
interfere-	втручатися
interrupt-	переривати
interruption-	перерву
interview-	бесіда
interview-	брати інтерв'ю
into-	в ( о)
introduce-	знайомити
introduction-	введення
invitation-	запрошення
invite-	запрошувати
involve-	залучати
issue-	питання (проблема)
it-	е про
its-	його
Itself-	себе
job-	робота
join-	з'єднувати
joke-	жарт
joke-	жартувати
journey-	подорож
judge-	суддя
judge-	судити
juice-	сік
jump-	стрибати
just-	тільки що
justice-	справедливість
keen-	гострий
keep-	тримати
keep away-	тримати (ся) на віддалі
keep from-	утримувати (ся)
keep off-	не підпускати
keep out-	не допускати
keep up-	підтримувати
key-	ключ
kick-	ударяти ногою
kill-	вбивати
kind-	сорт
kind-	добрий
knock-	ударяти
know-	знати
knowledge-	знання
label-	ярлик
land-	земля
land-	приземлятися
language-	мову
large-	великий
last-	останній
last-	тривати
late-	пізній
later-	більш пізній
later-	пізніше
laugh-	сміх
laugh-	сміятися
law-	закон
lay-	класти
lead-	перевага
lead-	вести
lean-	нахиляти (ся)
learn-	вчитися
least-	найменший
leave-	залишати
left-	лівий
left-	наліво
left-	ліва сторона
leg-	нога (від стегна до ступні)
legal-	легальний
lend-	позичати
length-	довжина
less-	менше
lesson-	урок
let-	дозволяти
letter-	письм
level-	рівень
level-	плоский
lie-	лежати
life-	життя
lift-	піднімати (ся)
light-	світло
light-	світлий
light-	загорятися
like-	любити
like-	подібний
likely-	ймовірний
limit-	межа
limit-	обмежувати
line-	лінія
list-	список
listen-	слухати
listen for-	прислухатися
little-	маленький
little-	мало
live-	жити
live-	живий
load-	вантаж
load-	вантажити
loan-	позику
lock-	замок
lock-	замикати ключем
lonely-	самотній
long-	довгий
long-	довго
look-	дивитися
look after-	доглядати
look around-	оглядати
look back (on)-	озиратися
look up-	шукати (що-л. в довіднику)
loose-	вільний
lose-	втрачати
loss-	втрата
lost-	зруйнований
lot-	багато
loud-	гучний
love-	любов
love-	любити
low-	низький
lower-	нижній
luck-	везіння
lucky-	щасливий
lunch-	обід
machine-	машина
mad-	божевільний
mail-	пошта
main-	головний
mainly-	головним чином
maintain-	підтримувати
major-	більш важливий
majority-	більшість
make-	робити
make into-	переробляти
make up-	вигадувати
male-	самець
male-	чоловічий
man-	людина
manage-	керувати
manner-	манера
many-	багато
march-	марширувати
mark-	знак
mark-	відзначати
market-	ринок
married-	одружений
marry-	одружуватися або виходити заміж
mass-	маса
match-	сірник
match-	підходити
material-	матеріал
matter-	справа
matter-	мати значення
maximum-	максимальний
may-	могти (дозвіл)
maybe-	може бути
me-	мене
meal-	прийом їжі
mean-	неприємний
mean-	мати на увазі
meaning-	значення
means-	засіб
meanwhile-	тим часом
measure-	міра
measure-	вимірювати
medium-	середній
meet-	зустрічати (ся)
meeting-	зустріч
memory-	пам'ять
mend-	лагодити
mention-	згадувати
mess-	безлад
mess-	виробляти безлад
message-	повідомлення
method-	метод
middle-	середина
middle-	середній
might-	могти (бавовняні. вр. від may)
mind-	заперечувати
mind-	розум
mine-	мій
mine-	шахта
minimum-	мінімум
minimum-	мінімальний
minor-	незначний
minority-	меншість
minute-	хвилина
miss-	нудьгувати
miss-	промах
mistake-	помилка
mistake-	помилятися
mix-	змішувати (ся)
mixture-	змішування
model-	модель
modern-	сучасний
moment-	момент
money-	гроші
month-	місяць
mood-	настрій
moon-	місяць
moral-	моральний
more-	більше
morning-	ранок
most-	найбільше
mother-	мама
motion-	рух
mouth-	рот
move-	рух
move-	рухати (ся)
movement-	рух
much-	багато
murder-	вбивство
murder-	вбивати
muscle-	м'язів
music-	музика
must-	повинен
my-	мій
myself-	себе
mysterious-	таємничий
mystery-	таємниця
name-	ім'я
name-	називати
narrow-	вузький
national-	національний
natural-	природний
naturally-	природно
nature-	природа
near-	близько
near-	ближній
nearly-	майже
neat-	акуратний
necessary-	необхідний
neck-	шия
need-	потребувати
needle-	голка
negative-	негативний
neither-	ні той ні інший
neither-	теж не
nerve-	нерв
nervous-	нервовий
never-	ніколи
new-	новий
news-	звістка
next-	наступний
nice-	хороший
night-	ніч
no-	не
no-	ніякої
noise-	шум
noisy-	галасливий
none-	ніякої
nonsense-	абсурд
no one-	ніхто
nor-	і ... не
normal-	нормальний
nose-	ніс
not-	не
note-	записка
nothing-	нічого
notice-	оголошення
now-	зараз
now-	тепер
nowhere-	ніде
number-	число
nurse-	медична сестра
object-	предмет
object-	заперечувати
objection-	заперечення
obtain-	отримувати
obvious-	очевидний
occasion-	випадок
occasional-	випадковий
occur-	відбуватися
ocean-	океан
odd-	дивний
of-	від
off-	с
off-	несвіжий
offence-	порушення
offend-	ображати
offer-	пропозицію
offer-	пропонувати
office-	офіс
official-	офіційний
official-	посадова особа
often-	часто
oil-	нафту
OK or okay-	добре
old-	старий
on-	на
on-	включений
once-	один ра з
once-	одного разу
one-	один
only-	тільки
only-	єдиний
onto-	на
open-	відкритий
open-	відкривати (ся)
operate-	діяти
operation-	операція
opinion-	думку
opponent-	противник
opportunity-	сприятлива можливість
opposite-	протилежний
opposite-	навпаки
or-	або
order-	порядок
order-	замовляти
ordinary-	звичайний
organization-	організація
organize-	організовувати
original-	початковий
other-	інший
otherwise-	інакше
ought-	висловлює повинність
our-	наш
ours-	наш
ourselves-	самі
out-	поза
outside-	зовні
over-	над
over-	понад
owe-	бути належним
own-	свій
pain-	біль
pair-	пара
paper-	папір
part-	частка
part-	розлучатися
partner-	партнер
party-	вечірка
pass-	проходити
passage-	прохід
passenger-	пасажир
past-	минуле
past-	минулий
past-	повз
path-	стежка
patience-	терпіння
patient-	терплячий
pattern-	модель
pause-	пауза
pause-	зупинятися
pay-	плата
pay-	платити
payment-	платіж
peace-	світ
peaceful-	мирний
pen-	ручка
pencil-	олівець
people-	люди
perfect-	досконалий
perform-	ви полнять
performance-	виступ
perhaps-	може бути
period-	період
permission-	дозвіл
person-	людина
personal-	особистий
persuade-	переконувати
petrol-	бензин
phone-	телефон
phone-	дзвонити по телефону
physical-	фізичний
pick-	вибирати
picture-	картина
piece-	шматок
pile-	купа
pin-	кнопка
pinch-	щипати
pipe-	труба
pity-	жалість
place-	простір
plain-	чистий
plan-	план
plan-	планувати
plant-	рослина
plastic-	пластик
plate-	тарілка
platform-	платформа
play-	п'єса
play-	грати
pleasant-	приємний
please-	ласка!
please-	радувати
pleased-	задоволений
pleasure-	задоволення
plenty-	безліч
plenty-	цілком
pocket-	Каман
point-	точка
point-	вказувати
poison-	отрута
police-	поліція
polite-	важливий
politics-	політика
pollution-	забруднення
pool-	басейн
poor-	бідний
popular-	популярний
port-	порт
position-	положення
positive-	впевнений
possession-	володіння
possibility-	ймовірність
possible-	ймовірний
possibly-	можливо
post-	пошта
post-	надсилати поштою
pot-	горщик
pour-	лити
power-	сила
powerful-	сильний
practical-	практичний
practice-	практика
practise-	практикувати (ся)
praise-	хвалити
precise-	точний
prefer-	перевагу
preparation-	підготовка
prepare-	готувати
present-	подарунок
present-	підносити
present-	присутній
press-	преса
press-	натискати
pressure-	тиск
pretend-	прикидатися
pretty-	гарненький
pretty-	досить
prevent-	запобігати
previous-	попередній
price-	ціна
pride-	гордість
principle-	принцип
print-	друкувати
priority-	перевага
private-	приватний
prize-	приз
probably-	ймовірно
problem-	ін блема
process-	процес
produce-	виробляти
production-	виготовлення
professional-	професійний
profit-	прибуток
programme-	програма
progress-	прогрес
project-	проект
promise-	обіцянку
promise-	обіцяти
pronounce-	вимовляти
pronunciation-	вимова
proof-	підтвердження
proper-	властивий
properly-	належним чином
protect-	захищати
protection-	захист
protest-	протест
protest-	протестувати
proud-	гордий
prove-	доводити
provide-	постачати
public-	громадський
public-	публіка
pull-	тягнути
pump-	качати
punish-	карати
punishment-	кара
pupil-	учень
pure-	чистий
purpose-	мета
push-	штовхати (ся)
put-	класти
quality-	якість
quantity-	кількість
quarter-	чверть
question-	питання
question-	розпитувати
quick-	швидкий
quickly-	швидко
quiet-	тихий
quite-	абсолютно
race-	гонка
radio-	радіо
rain-	дощ
rain-	йти
raise-	піднімати
range-	ряд
rank-	звання
rare-	рідкісний
rarely-	нечасто
rate-	показник
rather-	досить
raw-	сирий
reach-	добиратися до
react-	реагувати
reaction-	реакція
read-	чит ать
ready-	готовий
real-	реальний
realize-	розуміти
really-	дійсно
reason-	причина
reasonable-	розумний
receive-	отримувати
recent-	недавній
recently-	недавно
recognize-	визнавати
recommend-	рекомендувати
record-	запис
record-	записувати
recover-	одужувати
recovery-	одужання
reduce-	знижувати
reduction-	скорочення
refer-	згадувати
refuse-	відмовити (ся)
regard-	увагу
region-	область
regional-	бластной
regret-	шкодувати
regular-	регулярний
regularly-	регулярно
reject-	відхиляти
related-	пов'язаний
relation-	зв'язок
relationship-	спорідненість
relative-	родич; родичка
relax-	розслаблятися
release-	звільняти (ся)
reliable-	надійний
relief-	полегшення
rely-	покладатися
remain-	залишатися
remark-	зауваження
remember-	пам'ятати
remove-	переміщати
rent-	брати в оренду
repair-	ремонтувати
repeat-	повторювати
replace-	замінювати
reply-	відповідати
reply-	відповідь
report-	доповідь
report-	повідомляти
represent-	представляти
rescue-	рятувати
reserve-	резервувати
respect-	повагу
respect-	поважати
responsibility-	відповідальність
responsible-	відповідальний
rest-	залишок
rest-	відпочивати
result-	результат
return-	повертатися
rich-	багатий
rid-	звільняти
ride-	їхати
right-	право
right-	правий
right-	правильно
ring-	кільце
ring-	дзвонити
rise-	підніматися
risk-	ризик
risk-	ризикувати
road-	дорога
rob-	грабувати
roll-	котити (ся )
roof-	дах
room-	кімната
rough-	грубий
round-	круглий
round-	навколо
row-	ряд
rub-	терти (ся)
rubbish-	сміття
rule-	правило
run-	біг
run-	бігти
run away-	втекти
run into-	натрапляти
. run out-	ончаться
run over-	переїхати
rush-	поспіх
rush-	мчати
sad-	сумний
safe-	безпечний
safety-	безпеку
sail-	плавати
sale-	продаж
same-	той (ж) самий
satisfactory-	задовільний
satisfied-	задоволений
save-	рятувати
say-	сказати
scale-	вага
scare-	лякати
scared-	переляканий
scene-	сцена
schedule-	список
scheme-	проект
school-	школа
science-	наука
score-	рахунок
score-	вигравати
scrap-	клаптик
scrape-	шкребти
scream-	кричати
scream-	крик
sea-	море
search-	пошук
search-	шукати
season-	сезон
seat-	сидіння
second-	другий
second-	секнда
secret-	секрет
secret-	секретний
section-	секція
see-	бачити
seem-	здаватися
sell-	продавати
send-	посилати
sense-	почуття
sensible-	розсудливий
sensitive-	чутливий
sentence-	пропозицію
separate-	окремий
separate-	розділяти
serious-	серйозний
seriously-	серйозно
serve-	подавати
service-	служба
set-	набір
set-	ставити
settle-	залагоджувати
several-	кілька
shade-	тінь
shadow-	тінь
shake-	трясти (ся)
shall-	слід
shallow-	невеликий
shame-	сором
shape-	ф орма
share-	ділити (ся)
share-	частка
sharp-	гострий
she-	вона
shelter-	притулок
shine-	сяяти
shock-	удар
shock-	потрясати
shoot-	стріляти
shop-	магазин
shop-	робити покупки
shopping-	відвідування магазину
short-	короткий
should-	висловлює повинність
shoulder-	плече
shout-	крик
shout-	кричати
show-	показувати
show-	шоу
shrink-	зменшувати (ся)
shut-	закривати (ся)
shut-	закритий
sick-	хворий
side-	сторона
side-	бічної
sight-	вид
sign-	знак; символ
sign-	підписувати (ся)
silent-	мовчазний
similar-	подібний
simple-	простий
since-	з тих пір
sing-	співати
single-	єдиний
sink-	тонути
sink-	раковина
sister-	сестра
sit-	сидіти
situation-	положення
size-	розмір
skill-	вміння
skin-	шкіра
skirt-	спідниця
sky-	небеса
sleep-	спати
sleep-	сон
slice-	скибочку
slice-	нарізати скибочками
slide-	ковзати
slight-	легкий
slightly-	незначно
slip-	посковзнутися
slow-	повільний
slowly-	повільно
small-	маленький
smart-	ошатний
smell-	пахнути
smell-	запах
smile-	посміхатися
smile-	посмішка
smoke-	дим
smooth-	гладкий
snow-	сніг
snow-	йти (про сніг)
so-	отже
so-	так
soak-	вбирати (ся)
soft-	м'який
software-	комп'ютерні програми
soil-	грунт
solve-	вирішувати
some-	будь-якої
somebody-	хто-небудь
somehow-	так чи інакше
someone-	хтось
something-	щось
sometimes-	іноді
somewhere-	десь
song-	пісня
soon-	скоро
sore-	біль
sorry-	засмучений
sort-	вигляд
sort-	сортувати
sound-	звук
sound-	звучати
space-	простір
spare-	з апасной
speak-	говорити
special-	особливий
speech-	мова
speed-	швидкість
spend-	витрачати
